celltype,marker,Sex
Epithelial_cells,LOC119676120,M
Hub_cells,LOC119669987,M
Cyst,LOC119685859,M
Hub_cells,LOC119685859,M
Epithelial_cells,LOC119667879,M
Cyst,LOC119661829,M
Cyst,LOC119661829,M
Epithelial_cells,LOC119684286,M
Cyst,LOC119672403,M
Cyst,LOC119672403,M
Cyst,LOC119672403,M
Cyst,LOC119672403,M
Cyst,LOC119672403,M
Spermatids,LOC119685104,M
GSC_or_Early_spermatogonia,LOC119679168,M
Cyst,LOC119679168,M
Spermatids,LOC119668679,M
GSC_or_Early_spermatogonia,LOC119672288,M
Spermatocytes,LOC119680024,M
Spermatids,LOC119669823,M
Spermatocytes,LOC119666500,M
Spermatids,LOC119666500,M
GSC_or_Early_spermatogonia,LOC119682271,M
Cyst,LOC119682271,M
Hub_cells,LOC119685246,M
Spermatids,LOC119680186,M
Cyst,LOC119684338,M
GSC_or_Early_spermatogonia,LOC119688905,M
Epithelial_cells,LOC119668061,M
Hub_cells,LOC119668576,M
Spermatids,LOC119690263,M
Cyst,LOC119678245,M
Cyst,LOC119680332,M
Epithelial_cells,LOC119680975,M
Cyst,LOC119683570,M
Cyst,LOC119683570,M
Cyst,LOC119683570,M
GSC_or_Early_spermatogonia,LOC119670105,M
Cyst,LOC119687972,M
Cyst,LOC119687972,M
Cyst,LOC119687972,M
Cyst,LOC119687972,M
Cyst,LOC119687972,M
Cyst,LOC119687972,M
Cyst,LOC119669947,M
Spermatocytes,LOC119673353,M
Spermatocytes,LOC119673353,M
Spermatocytes,LOC119673353,M
Spermatocytes,LOC119673353,M
Hub_cells,LOC119679468,M
GSC_or_Early_spermatogonia,LOC119680605,M
Epithelial_cells,LOC119680605,M
Cyst,LOC119689323,M
Epithelial_cells,LOC119682877,M
Cyst,LOC119662365,M
Spermatocytes,LOC119672239,M
Spermatids,LOC119685997,M
Spermatocytes,LOC119671323,M
Cyst,LOC119671506,M
Epithelial_cells,LOC119679425,M
Cyst,LOC119685720,M
Spermatids,LOC119685720,M
Cyst,LOC119685720,M
Cyst,LOC119685720,M
Cyst,LOC119685720,M
Cyst,LOC119685720,M
Spermatids,LOC119685720,M
Epithelial_cells,LOC119668174,M
Spermatids,LOC119669619,M
Spermatocytes,LOC119679347,M
Spermatocytes,LOC119662732,M
Spermatocytes,LOC119681926,M
Spermatocytes,LOC119681926,M
Spermatocytes,LOC119681926,M
Spermatocytes,LOC119684277,M
Spermatocytes,LOC119684277,M
Hub_cells,LOC119687646,M
Spermatocytes,LOC119689431,M
Epithelial_cells,LOC119674146,M
Cyst,LOC119674146,M
Spermatocytes,LOC119679067,M
Spermatids,LOC119673379,M
Cyst,LOC119680407,M
Epithelial_cells,LOC119668992,M
Cyst,LOC119669927,M
Cyst,LOC119673464,M
Cyst,LOC119670215,M
Epithelial_cells,LOC119676381,M
Cyst,LOC119688035,M
Cyst,LOC119688035,M
Cyst,LOC119688448,M
Cyst,LOC119688448,M
Cyst,LOC119688448,M
Spermatids,LOC119688448,M
Cyst,LOC119688448,M
Epithelial_cells,LOC119688448,M
Cyst,LOC119688448,M
Epithelial_cells,LOC119679224,M
Spermatids,LOC119682163,M
Hub_cells,LOC119674119,M
Cyst,LOC119668811,M
Spermatocytes,LOC119689255,M
Hub_cells,LOC119689255,M
Spermatids,LOC119684776,M
Cyst,LOC119670665,M
Spermatocytes,LOC119682584,M
GSC_or_Early_spermatogonia,LOC119672406,M
Cyst,LOC119677537,M
GSC_or_Early_spermatogonia,LOC119668362,M
Spermatocytes,LOC119687707,M
Spermatids,LOC119687707,M
Cyst,LOC119689311,M
Cyst,LOC119689311,M
Epithelial_cells,LOC119674755,M
Cyst,LOC119687913,M
Hub_cells,LOC119687913,M
GSC_or_Early_spermatogonia,LOC119679549,M
GSC_or_Early_spermatogonia,LOC119688938,M
GSC_or_Early_spermatogonia,LOC119672752,M
Epithelial_cells,LOC119672752,M
Epithelial_cells,LOC119678514,M
GSC_or_Early_spermatogonia,LOC119678514,M
GSC_or_Early_spermatogonia,LOC119684241,M
GSC_or_Early_spermatogonia,LOC119684241,M
Epithelial_cells,LOC119684241,M
GSC_or_Early_spermatogonia,LOC119683598,M
GSC_or_Early_spermatogonia,LOC119683598,M
Epithelial_cells,LOC119688019,M
GSC_or_Early_spermatogonia,LOC119688019,M
GSC_or_Early_spermatogonia,LOC119688019,M
Epithelial_cells,LOC119672154,M
GSC_or_Early_spermatogonia,LOC119681996,M
GSC_or_Early_spermatogonia,LOC119681996,M
GSC_or_Early_spermatogonia,LOC119684268,M
GSC_or_Early_spermatogonia,LOC119677479,M
GSC_or_Early_spermatogonia,LOC119661967,M
Epithelial_cells,LOC119661967,M
Epithelial_cells,LOC119675218,M
GSC_or_Early_spermatogonia,LOC119688084,M
Epithelial_cells,LOC119688084,M
GSC_or_Early_spermatogonia,LOC119687822,M
GSC_or_Early_spermatogonia,LOC119681090,M
GSC_or_Early_spermatogonia,LOC119681090,M
GSC_or_Early_spermatogonia,LOC119678430,M
GSC_or_Early_spermatogonia,LOC119678430,M
GSC_or_Early_spermatogonia,LOC119689716,M
GSC_or_Early_spermatogonia,LOC119670364,M
GSC_or_Early_spermatogonia,LOC119668340,M
GSC_or_Early_spermatogonia,LOC119668535,M
GSC_or_Early_spermatogonia,LOC119668535,M
GSC_or_Early_spermatogonia,LOC119688151,M
Epithelial_cells,LOC119688151,M
GSC_or_Early_spermatogonia,LOC119689846,M
Epithelial_cells,LOC119689846,M
GSC_or_Early_spermatogonia,LOC119689846,M
GSC_or_Early_spermatogonia,LOC119669209,M
Epithelial_cells,LOC119669209,M
GSC_or_Early_spermatogonia,LOC119669209,M
Epithelial_cells,LOC119679533,M
GSC_or_Early_spermatogonia,LOC119679533,M
GSC_or_Early_spermatogonia,LOC119679533,M
GSC_or_Early_spermatogonia,LOC119672865,M
Epithelial_cells,LOC119672865,M
GSC_or_Early_spermatogonia,LOC119681008,M
GSC_or_Early_spermatogonia,LOC119681008,M
GSC_or_Early_spermatogonia,LOC119685596,M
Cyst,LOC119685596,M
Epithelial_cells,LOC119683249,M
GSC_or_Early_spermatogonia,LOC119683249,M
GSC_or_Early_spermatogonia,LOC119683249,M
GSC_or_Early_spermatogonia,LOC119669459,M
GSC_or_Early_spermatogonia,LOC119669459,M
GSC_or_Early_spermatogonia,LOC119689855,M
GSC_or_Early_spermatogonia,LOC119689855,M
GSC_or_Early_spermatogonia,LOC119669432,M
Spermatocytes,LOC119669560,M
Epithelial_cells,LOC119669019,M
Epithelial_cells,LOC119674150,M
Cyst,LOC119685949,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Cyst,LOC119681140,M
Cyst,LOC119681140,M
Cyst,LOC119681140,M
Spermatids,LOC119678623,M
Spermatocytes,LOC119677656,M
Epithelial_cells,LOC119678647,M
Cyst,LOC119685179,M
Cyst,LOC119685179,M
Cyst,LOC119685179,M
Cyst,LOC119685179,M
Cyst,LOC119679112,M
GSC_or_Early_spermatogonia,LOC119671719,M
GSC_or_Early_spermatogonia,LOC119671719,M
Hub_cells,LOC119688099,M
Cyst,LOC119683759,M
Hub_cells,LOC119670533,M
Spermatids,LOC119670533,M
Hub_cells,LOC119687521,M
Hub_cells,LOC119677752,M
Cyst,LOC119672201,M
GSC_or_Early_spermatogonia,LOC119677802,M
Spermatocytes,LOC119681011,M
Spermatocytes,LOC119681011,M
Cyst,LOC119688073,M
Cyst,LOC119688073,M
Cyst,LOC119688073,M
GSC_or_Early_spermatogonia,LOC119669202,M
